"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-2.405435388,-2.405615,-2.40677915711327,7945.7,0.95,-2.44891,-2.35841,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-8.39379522133333e-06,-8.387315e-06,-8.40073566648986e-06,707.7,0.95,-9.70014e-06,-7.15349e-06,NA,NA,NA,NA,NA,NA,NA
"beta[2]",-4.64322444601333e-08,-4.5991e-08,-4.35658162090829e-08,0,0.95,-7.04292e-08,-2.35716e-08,NA,NA,NA,NA,NA,NA,NA
"beta[3]",0.00130952037362533,0.00189711,0.00317004106934033,6169.5,0.95,-0.00979045,0.0121688,NA,NA,NA,NA,NA,NA,NA
"zbeta0",-3.42333537733333,-3.422765,-3.42689939017936,641.5,0.95,-3.54894,-3.29264,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-9.85173809733333,-9.84413,-9.85988969630039,707.7,0.95,-11.385,-8.39601,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",-2.72637388246667,-2.700465,-2.55806262125953,1115.5,0.95,-4.13541,-1.38406,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",0.00434802414742933,0.006299,0.0105255375211786,6169.5,0.95,-0.0325074,0.0404044,NA,NA,NA,NA,NA,NA,NA
