"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",0.274110280533333,0.2740995,0.27106514091764,6310.4,0.95,0.251058,0.297314,NA,NA,NA,NA,NA,NA,NA
"beta[1]",-2.32971076e-07,-2.32726e-07,-2.34937411645031e-07,1328.6,0.95,-2.88628e-07,-1.73651e-07,NA,NA,NA,NA,NA,NA,NA
"beta[2]",1.72612923066667e-08,1.724945e-08,1.76488011656991e-08,0,0.95,1.36663e-08,2.08941e-08,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-0.03073575648,-0.03046405,-0.0292238642896994,6569,0.95,-0.0450767,-0.0168451,NA,NA,NA,NA,NA,NA,NA
"zbeta0",0.313471039733333,0.313358,0.311398584077061,5173.1,0.95,0.290985,0.336881,NA,NA,NA,NA,NA,NA,NA
"zbeta[1]",-0.273436500266667,-0.273149,-0.275744877143612,1328.6,0.95,-0.33876,-0.203812,NA,NA,NA,NA,NA,NA,NA
"zbeta[2]",1.0135357188,1.01284,1.03628860699796,1301.2,0.95,0.802445,1.22684,NA,NA,NA,NA,NA,NA,NA
"zbeta[3]",-0.102052488266667,-0.1011505,-0.0970324053593171,6569,0.95,-0.149669,-0.0559309,NA,NA,NA,NA,NA,NA,NA
